"OP_UNIQUE_CARRIER","TAIL_NUM"
"AS","N768AS"
"AS","N764AS"
"AS","N549AS"
"AS","N763AS"
"AS","N769AS"
"AS","N534AS"
"AS","N590AS"
"AS","N306AS"
"AS","N468AS"
"AS","N419AS"
"AS","N558AS"
"AS","N713AS"
"AS","N408AS"
"AS","N516AS"
"AS","N560AS"
"AS","N596AS"
"AS","N556AS"
"AS","N551AS"
"AS","N323AS"
"AS","N487AS"
"AS","N518AS"
"AS","N471AS"
"AS","N493AS"
"AS","N593AS"
"AS","N512AS"
"AS","N514AS"
"AS","N566AS"
"AS","N587AS"
"AS","N423AS"
"AS","N583AS"
"AS","N491AS"
"AS","N519AS"
"AS","N589AS"
"AS","N448AS"
"AS","N309AS"
"AS","N594AS"
"AS","N535AS"
"AS","N315AS"
"AS","N553AS"
"AS","N525AS"
"AS","N435AS"
"AS","N318AS"
"AS","N266AK"
"AS","N546AS"
"AS","N548AS"
"AS","N428AS"
"AS","N303AS"
"AS","N305AS"
"AS","N431AS"
"AS","N533AS"
"AS","N469AS"
"AS","N319AS"
"AS","N622AS"
"AS","N481AS"
"AS","N611AS"
"AS","N409AS"
"AS","N538AS"
"AS","N413AS"
"AS","N708AS"
"AS","N407AS"
"AS","N526AS"
"AS","N588AS"
"AS","N523AS"
"AS","N568AS"
"AS","N564AS"
"AS","N317AS"
"AS","N520AS"
"AS","N472AS"
"AS","N236AK"
"AS","N479AS"
"AS","N462AS"
"AS","N552AS"
"AS","N267AK"
"AS","N248AK"
"AS","N579AS"
"AS","N253AK"
"AS","N302AS"
"AS","N607AS"
"AS","N613AS"
"AS","N615AS"
"AS","N644AS"
"AS","N625AS"
"AS","N612AS"
"AS","N478AS"
"AS","N609AS"
"AS","N403AS"
"AS","N440AS"
"AS","N224AK"
"AS","N563AS"
"AS","N619AS"
"AS","N562AS"
"AS","N453AS"
"AS","N434AS"
"AS","N581AS"
"AS","N402AS"
"AS","N508AS"
"AS","N506AS"
"AS","N513AS"
"AS","N532AS"
"AS","N537AS"
"AS","N577AS"
"AS","N536AS"
"AS","N531AS"
"AS","N565AS"
"AS","N597AS"
"AS","N268AK"
"AS","N618AS"
"AS","N247AK"
"AS","N592AS"
"AS","N559AS"
"AS","N483AS"
"AS","N265AK"
"AS","N474AS"
"AS","N529AS"
"AS","N760AS"
"AS","N517AS"
"AS","N477AS"
"AS","N767AS"
"B6","N966JB"
"B6","N965JB"
"B6","N975JB"
"B6","N608JB"
"B6","N587JB"
"B6","N709JB"
"B6","N571JB"
"B6","N554JB"
"B6","N661JB"
"B6","N923JB"
"B6","N809JB"
"B6","N784JB"
"B6","N964JB"
"B6","N534JB"
"B6","N648JB"
"B6","N527JB"
"B6","N198JB"
"B6","N354JB"
"B6","N665JB"
"B6","N952JB"
"B6","N958JB"
"B6","N258JB"
"B6","N591JB"
"B6","N523JB"
"B6","N563JB"
"B6","N281JB"
"B6","N834JB"
"B6","N655JB"
"B6","N729JB"
"B6","N643JB"
"B6","N913JB"
"B6","N705JB"
"B6","N507JB"
